Country,Year,ISO Country Code,Population,Gross Domestic Product,Cement CO2 Emissions,CO2 Emissions,CO2 Including Land Use Change,Coal CO2 Emissions,Consumption CO2,Flaring CO2 Emissions,Gas CO2 Emissions,Land Use Change CO2,Methane,Nitrous Oxide,Oil CO2 Emissions,Other Industry CO2,Primary Energy Consumption,Temperature Change From Methane,Temperature Change From CO2,Temperature Change From Greenhouse Gas,Temperature Change From Nitrous Oxide,Total Greenhouse Gas,Total Greenhouse Gas Excluding Land Use Change,Trade CO2,Continent,UN Region,Income Group
Afghanistan,1930,AFG,6626142.0,5289892984.611616,0.0,0.0,7.585052460881933,0.0,0.0,0.0,0.0,6.168,5.931,0.956,0.0,0.0,2.0978752419739086,0.0,0.0,0.0,0.0,14.601,1.07,0.0,Asia,Southern Asia,Low Income
Afghanistan,1931,AFG,6480237.0,5411325563.938952,0.0,0.0,7.592604381223326,0.0,0.0,0.0,0.0,6.085,6.0,0.988,0.0,0.0,2.154723402101863,0.0,0.0,0.0,0.0,14.714,1.081,0.0,Asia,Southern Asia,Low Income
Afghanistan,1932,AFG,6409250.0,5535545698.962554,0.0,0.0,7.60015630156472,0.0,0.0,0.0,0.0,6.033,6.068,1.018,0.0,0.0,2.2131120319609567,0.0,0.0,0.0,0.0,14.807,1.093,0.0,Asia,Southern Asia,Low Income
Afghanistan,1933,AFG,6409250.0,5662617379.64963,0.0,0.0,7.607708221906114,0.0,0.0,0.0,0.0,5.996,6.137,1.046,0.0,0.0,2.2730828751535563,0.0,0.0,0.0,0.0,14.936,1.105,0.0,Asia,Southern Asia,Low Income
Afghanistan,1934,AFG,6409250.0,5792606064.894299,0.0,0.0,7.615260142247509,0.0,0.0,0.0,0.0,5.967,6.205,1.074,0.0,0.0,2.334678806448923,0.0,0.0,0.0,0.0,15.019,1.116,0.0,Asia,Southern Asia,Low Income
Afghanistan,1935,AFG,6409250.0,5925578716.237818,0.0,0.0,7.622812062588903,0.0,0.0,0.0,0.0,5.944,6.274,1.101,0.0,0.0,2.397943862435526,0.0,0.0,0.0,0.0,15.151,1.128,0.0,Asia,Southern Asia,Low Income
Afghanistan,1936,AFG,6409250.0,6061603832.362687,0.0,0.0,7.630363982930296,0.0,0.0,0.0,0.0,5.925,6.38,1.128,0.0,0.0,2.4629232730039794,0.0,0.0,0.0,0.0,15.332,1.14,0.0,Asia,Southern Asia,Low Income
Afghanistan,1937,AFG,6409250.0,6200751484.378622,0.0,0.0,7.63791590327169,0.0,0.0,0.0,0.0,5.909,6.488,1.156,0.0,0.0,2.529663493683115,0.0,0.0,0.0,0.0,15.465,1.151,0.0,Asia,Southern Asia,Low Income
Afghanistan,1938,AFG,6409250.0,6343093351.918491,0.0,0.0,7.645467823613085,0.0,0.0,0.0,0.0,5.894,6.596,1.184,0.0,0.0,2.5982122388522653,0.0,0.0,0.0,0.0,15.669,1.163,0.0,Asia,Southern Asia,Low Income
Afghanistan,1939,AFG,6428903.0,6488702760.0630865,0.0,0.0,7.653019743954479,0.0,0.0,0.0,0.0,5.882,6.706,1.213,0.0,0.0,2.6686185158536326,0.0,0.0,0.0,0.0,15.842,1.175,0.0,Asia,Southern Asia,Low Income
Afghanistan,1940,AFG,6468510.0,6637654717.113069,0.0,0.0,7.660571664295872,0.0,0.0,0.0,0.0,5.95,6.816,1.244,0.0,0.0,2.7409326600288466,0.0,0.0,0.0,0.0,16.026,1.186,0.0,Asia,Southern Asia,Low Income
Afghanistan,1941,AFG,6528377.0,6790025953.22844,0.0,0.0,7.668123584637266,0.0,0.0,0.0,0.0,5.974,6.939,1.293,0.0,0.0,2.8152063707051274,0.0,0.0,0.0,0.0,16.267,1.203,0.0,Asia,Southern Asia,Low Income
Afghanistan,1942,AFG,6608815.0,6945894959.954788,0.0,0.0,7.67567550497866,0.0,0.0,0.0,0.0,5.986,7.063,1.371,0.0,0.0,2.891492748156507,0.0,0.0,0.0,0.0,16.465,1.22,0.0,Asia,Southern Asia,Low Income
Afghanistan,1943,AFG,6710138.0,7105342030.656916,0.0,0.0,7.683227425320055,0.0,0.0,0.0,0.0,5.994,7.189,1.472,0.0,0.0,2.9698463315666443,0.0,0.0,0.0,0.0,16.697,1.237,0.0,Asia,Southern Asia,Low Income
Afghanistan,1944,AFG,6813016.0,7268449301.880605,0.0,0.0,7.690779345661449,0.0,0.0,0.0,0.0,5.999,7.315,1.588,0.0,0.0,3.050323138020333,0.0,0.0,0.0,0.0,17.033,1.255,0.0,Asia,Southern Asia,Low Income
Afghanistan,1945,AFG,6917471.0,7435300795.664111,0.0,0.0,7.698331266002843,0.0,0.0,0.0,0.0,6.002,7.436,1.714,0.0,0.0,3.132980702551708,0.0,0.0,0.0,0.0,17.322,1.266,0.0,Asia,Southern Asia,Low Income
Afghanistan,1946,AFG,7023527.0,7605982462.820443,0.0,0.0,7.705883186344236,0.0,0.0,0.0,0.0,6.005,7.557,1.841,0.0,0.0,3.217878119277461,0.0,0.0,0.0,0.0,17.684,1.278,0.0,Asia,Southern Asia,Low Income
Afghanistan,1947,AFG,7131209.0,7780582227.213709,0.0,0.0,7.713435106685632,0.0,0.0,0.0,0.0,6.007,7.643,1.964,0.0,0.0,3.305076083644902,0.0,0.0,0.0,0.0,18.081,1.252,0.0,Asia,Southern Asia,Low Income
Afghanistan,1948,AFG,7240542.0,7959190031.051609,0.0,0.0,7.720987027027025,0.0,0.0,0.0,0.0,6.125,7.767,2.076,0.0,0.0,3.394636935824741,0.0,0.0,0.0,0.0,18.18,1.263,0.0,Asia,Southern Asia,Low Income
Afghanistan,1949,AFG,7356890.0,8141897881.21769,0.0,0.015,6.25,0.015,0.0,0.0,0.0,6.235,7.899,2.17,0.0,0.0,3.4866247052797585,0.0,0.0,0.001,0.0,18.288,1.297,0.0,Asia,Southern Asia,Low Income
Afghanistan,1950,AFG,7776182.0,9421400064.0,0.0,0.084,7.316,0.021,0.0,0.0,0.0,7.232,8.101,2.238,0.063,0.0,3.58110515654119,0.0,0.0,0.001,0.0,19.447,1.453,0.0,Asia,Southern Asia,Low Income
Afghanistan,1951,AFG,7879343.0,9692279808.0,0.0,0.092,8.264,0.026,0.0,0.0,0.0,8.172,8.233,2.3,0.066,0.0,3.6781458362255304,0.0,0.0,0.001,0.0,20.458,1.473,0.0,Asia,Southern Asia,Low Income
Afghanistan,1952,AFG,7987783.0,10017325056.0,0.0,0.092,9.192,0.032,0.0,0.0,0.0,9.101,8.373,2.373,0.06,0.0,3.777816121325533,0.0,0.0,0.001,0.0,21.356,1.484,0.0,Asia,Southern Asia,Low Income
Afghanistan,1953,AFG,8096703.0,10630519808.0,0.0,0.106,10.269,0.038,0.0,0.0,0.0,10.162,8.528,2.455,0.068,0.0,3.880187268809531,0.0,0.0,0.001,0.0,22.361,1.517,0.0,Asia,Southern Asia,Low Income
Afghanistan,1954,AFG,8207953.0,10866360320.0,0.0,0.106,11.137,0.043,0.0,0.0,0.0,11.031,8.691,2.541,0.064,0.0,3.98533246656507,0.0,0.0,0.001,0.0,23.256,1.534,0.0,Asia,Southern Asia,Low Income
Afghanistan,1955,AFG,8326981.0,11078185984.0,0.0,0.154,12.247,0.062,0.0,0.0,0.0,12.093,8.897,2.627,0.092,0.0,4.093326885722863,0.0,0.0,0.001,0.0,24.423,1.633,0.0,Asia,Southern Asia,Low Income
Afghanistan,1956,AFG,8454302.0,11581236224.0,0.0,0.183,13.193,0.062,0.0,0.0,0.0,13.009,9.11,2.711,0.121,0.0,4.204247734398665,0.0,0.0,0.001,0.0,25.502,1.712,0.0,Asia,Southern Asia,Low Income
Afghanistan,1957,AFG,8588340.0,11578973184.0,0.0,0.293,14.253,0.077,0.0,0.0,0.0,13.96,9.416,2.787,0.216,0.0,4.318174312891421,0.0,0.0,0.001,0.0,26.746,1.956,0.0,Asia,Southern Asia,Low Income
Afghanistan,1958,AFG,8723412.0,12238841856.0,0.0,0.33,15.313,0.092,0.0,0.0,0.0,14.984,9.649,2.852,0.238,0.0,4.43518807037716,0.0,0.0,0.001,0.0,28.019,2.044,0.0,Asia,Southern Asia,Low Income
Afghanistan,1959,AFG,8869271.0,12579874816.0,0.018,0.385,16.017,0.11,0.0,0.0,0.0,15.633,9.89,2.902,0.256,0.0,4.555372663139326,0.0,0.0,0.001,0.0,29.052,2.149,0.0,Asia,Southern Asia,Low Income
Afghanistan,1960,AFG,9035048.0,13033253888.0,0.018,0.414,17.857,0.127,0.0,0.0,0.0,17.444,10.137,2.934,0.269,0.0,4.678814014376714,0.0,0.0,0.001,0.0,28.796,2.225,0.0,Asia,Southern Asia,Low Income
Afghanistan,1961,AFG,9214082.0,13146287104.0,0.022,0.491,15.287,0.176,0.0,0.0,0.0,14.796,9.611,2.927,0.293,0.0,4.805600375632406,0.0,0.0,0.001,0.0,26.207,2.37,0.0,Asia,Southern Asia,Low Income
Afghanistan,1962,AFG,9404411.0,13367633920.0,0.029,0.689,14.062,0.297,0.0,0.0,0.0,13.373,9.902,2.901,0.363,0.0,4.935822389887142,0.0,0.0,0.001,0.0,25.671,2.722,0.0,Asia,Southern Asia,Low Income
Afghanistan,1963,AFG,9604491.0,13630298112.0,0.051,0.707,13.5,0.264,0.0,0.0,0.0,12.793,10.253,2.952,0.392,0.0,5.069573156362423,0.0,0.0,0.001,0.0,25.747,2.79,0.0,Asia,Southern Asia,Low Income
Afghanistan,1964,AFG,9814318.0,13870503936.0,0.062,0.839,10.881,0.3,0.0,0.0,0.0,10.043,10.526,3.015,0.476,0.0,5.206948297079648,0.0,0.0,0.001,0.0,24.625,3.065,0.0,Asia,Southern Asia,Low Income
Afghanistan,1965,AFG,10036003.0,14187419648.0,0.084,1.007,11.389,0.381,0.0,0.0,0.0,10.382,10.853,3.087,0.542,0.0,5.348046025222838,0.0,0.0,0.001,0.0,25.37,3.372,0.0,Asia,Southern Asia,Low Income
Afghanistan,1966,AFG,10266397.0,14325264384.0,0.087,1.091,10.25,0.429,0.0,0.0,0.0,9.159,11.273,3.165,0.575,0.0,5.492967215354031,0.0,0.0,0.001,0.0,25.136,3.544,0.0,Asia,Southern Asia,Low Income
Afghanistan,1967,AFG,10505961.0,14734025728.0,0.065,1.282,8.687,0.399,0.0,0.0,0.26,7.405,11.616,3.248,0.557,0.0,5.641815475530991,0.0,0.0,0.001,0.0,24.593,4.055,0.0,Asia,Southern Asia,Low Income
Afghanistan,1968,AFG,10756924.0,15254250496.0,0.047,1.223,8.133,0.332,0.0,0.0,0.347,6.91,11.906,3.393,0.497,0.0,5.794697221379552,0.0,0.0,0.001,0.0,24.491,4.049,0.0,Asia,Southern Asia,Low Income
Afghanistan,1969,AFG,11017417.0,15493193728.0,0.051,0.941,7.225,0.363,0.0,0.0,0.0,6.284,11.486,3.382,0.528,0.0,5.951721752172973,0.0,0.0,0.001,0.0,23.202,3.417,0.0,Asia,Southern Asia,Low Income
Afghanistan,1970,AFG,11290135.0,15812232192.0,0.047,1.67,8.153,0.437,0.0,0.297,0.217,6.483,11.689,3.402,0.672,0.0,6.113001328972927,0.0,0.0,0.001,0.0,24.12,4.255,0.0,Asia,Southern Asia,Low Income
Afghanistan,1971,AFG,11567672.0,15770513408.0,0.043,1.894,7.621,0.359,0.0,0.304,0.44,5.727,11.669,3.367,0.747,0.0,6.278651254887908,0.0,0.0,0.001,0.0,23.612,4.532,0.0,Asia,Southern Asia,Low Income
Afghanistan,1972,AFG,11853697.0,13170552832.0,0.046,1.53,6.73,0.191,0.0,0.366,0.3,5.2,10.276,2.629,0.627,0.0,6.448789957506711,0.0,0.0,0.001,0.0,20.493,4.301,0.0,Asia,Southern Asia,Low Income
Afghanistan,1973,AFG,12158000.0,13568630784.0,0.067,1.635,6.039,0.311,0.0,0.223,0.333,4.404,10.641,2.911,0.702,0.0,6.623539073565227,0.0,0.0,0.001,0.0,20.668,4.424,0.0,Asia,Southern Asia,Low Income
Afghanistan,1974,AFG,12469127.0,14309107712.0,0.07,1.913,5.88,0.305,0.0,0.367,0.4,3.967,11.243,3.167,0.771,0.0,6.803023535908,0.0,0.0,0.001,0.0,21.277,4.804,0.0,Asia,Southern Asia,Low Income
Afghanistan,1975,AFG,12773967.0,15177767936.0,0.069,2.121,5.732,0.399,0.0,0.304,0.475,3.61,11.848,3.433,0.874,0.0,6.987371662806033,0.0,0.0,0.001,0.0,21.901,5.076,0.0,Asia,Southern Asia,Low Income
Afghanistan,1976,AFG,13059861.0,16023605248.0,0.079,1.981,5.286,0.425,0.0,0.293,0.3,3.305,11.925,3.532,0.883,0.0,7.17671524969497,0.0,0.0,0.001,0.0,21.624,4.841,0.0,Asia,Southern Asia,Low Income
Afghanistan,1977,AFG,13340758.0,15207360512.0,0.065,2.384,5.391,0.451,0.0,0.381,0.513,3.007,11.751,3.467,0.975,0.0,7.371189663399204,0.0,0.0,0.001,0.0,21.517,5.287,0.0,Asia,Southern Asia,Low Income
Afghanistan,1978,AFG,13611445.0,16337829888.0,0.058,2.153,4.786,0.576,0.0,0.283,0.301,2.632,11.749,3.413,0.936,0.0,7.570933938909203,0.0,0.0,0.001,0.0,20.887,5.062,0.0,Asia,Southern Asia,Low Income
Afghanistan,1979,AFG,13655572.0,15913788416.0,0.064,2.233,4.99,0.352,0.0,0.267,0.385,2.757,11.528,3.315,1.165,0.0,7.776090878781582,0.0,0.0,0.001,0.0,20.564,5.115,0.0,Asia,Southern Asia,Low Income
Afghanistan,1980,AFG,13169312.0,15329836032.0,0.023,1.756,4.338,0.316,0.0,0.305,0.187,2.582,11.657,3.351,0.925,0.0,7.791,0.0,0.0,0.001,0.0,20.068,4.804,0.0,Asia,Southern Asia,Low Income
Afghanistan,1981,AFG,11937587.0,15645343744.0,0.033,1.978,4.675,0.333,0.0,0.293,0.304,2.696,11.608,3.321,1.015,0.0,8.777,0.0,0.0,0.001,0.0,20.145,4.972,0.0,Asia,Southern Asia,Low Income
Afghanistan,1982,AFG,10991382.0,15980409856.0,0.039,2.095,4.264,0.385,0.0,0.282,0.396,2.17,11.494,3.368,0.993,0.0,9.348,0.0,0.0,0.001,0.0,19.83,5.02,0.0,Asia,Southern Asia,Low Income
Afghanistan,1983,AFG,10917986.0,16755333120.0,0.006,2.52,4.639,0.385,0.0,0.293,0.616,2.119,11.019,3.172,1.22,0.0,11.436,0.0,0.0,0.001,0.0,19.465,5.455,0.0,Asia,Southern Asia,Low Income
Afghanistan,1984,AFG,11190220.0,17072152576.0,0.048,2.822,4.67,0.393,0.0,0.316,0.932,1.849,10.076,3.005,1.134,0.0,11.489,0.0,0.0,0.001,0.0,18.387,5.774,0.0,Asia,Southern Asia,Low Income
Afghanistan,1985,AFG,11426855.0,17108480000.0,0.032,3.501,5.069,0.4,0.0,0.33,1.192,1.567,9.337,2.794,1.548,0.0,11.217,0.0,0.0,0.001,0.0,17.89,6.558,0.0,Asia,Southern Asia,Low Income
Afghanistan,1986,AFG,11420074.0,17641345024.0,0.038,3.134,4.4,0.425,0.0,0.33,1.202,1.266,8.131,2.389,1.14,0.0,11.462,0.0,0.0,0.001,0.0,15.693,6.176,0.0,Asia,Southern Asia,Low Income
Afghanistan,1987,AFG,11387824.0,15810816000.0,0.043,3.114,4.131,0.443,0.0,0.223,0.392,1.017,8.149,2.592,2.013,0.0,18.483,0.0,0.0,0.001,0.0,15.699,5.776,0.0,Asia,Southern Asia,Low Income
Afghanistan,1988,AFG,11523299.0,14499068928.0,0.043,2.857,3.857,0.366,0.0,0.187,0.44,1.0,8.332,2.699,1.821,0.0,32.596,0.0,0.0,0.001,0.0,15.688,5.405,0.0,Asia,Southern Asia,Low Income
Afghanistan,1989,AFG,11874088.0,13489497088.0,0.043,2.765,3.674,0.337,0.0,0.04,0.48,0.909,7.832,2.684,1.865,0.0,32.052,0.0,0.0,0.001,0.0,14.936,4.908,0.0,Asia,Southern Asia,Low Income
Afghanistan,1990,AFG,12045664.0,13065984000.0,0.046,2.024,2.185,0.278,0.0,0.026,0.403,0.161,7.86,2.645,1.271,0.0,31.746,0.0,0.0,0.001,0.0,13.892,4.218,0.0,Asia,Southern Asia,Low Income
Afghanistan,1991,AFG,12238879.0,12047362048.0,0.046,1.914,1.915,0.25,0.0,0.026,0.389,0.001,8.221,2.72,1.204,0.0,13.903,0.0,0.0,0.001,0.0,14.178,4.207,0.0,Asia,Southern Asia,Low Income
Afghanistan,1992,AFG,13278982.0,12677539840.0,0.046,1.482,-0.179,0.022,0.0,0.022,0.363,-1.661,8.377,2.666,1.03,0.0,9.168,0.0,0.0,0.001,0.0,12.514,3.853,0.0,Asia,Southern Asia,Low Income
Afghanistan,1993,AFG,14943174.0,9834582016.0,0.047,1.487,-2.575,0.018,0.0,0.022,0.352,-4.062,8.579,2.705,1.048,0.0,9.105,0.0,0.0,0.001,0.0,11.804,4.021,0.0,Asia,Southern Asia,Low Income
Afghanistan,1994,AFG,16250799.0,7919856640.0,0.047,1.454,-1.994,0.015,0.0,0.022,0.338,-3.448,8.974,2.552,1.032,0.0,8.816,0.0,0.0,0.001,0.0,12.282,4.159,0.0,Asia,Southern Asia,Low Income
Afghanistan,1995,AFG,17065836.0,12307525632.0,0.047,1.417,-1.051,0.015,0.0,0.022,0.322,-2.469,9.505,2.672,1.011,0.0,7.429,0.0,0.0,0.001,0.0,13.319,4.321,0.0,Asia,Southern Asia,Low Income
Afghanistan,1996,AFG,17763265.0,12070125568.0,0.047,1.37,1.356,0.007,0.0,0.022,0.308,-0.014,10.506,2.899,0.986,0.0,7.286,0.0,0.0,0.001,0.0,15.723,4.425,0.0,Asia,Southern Asia,Low Income
Afghanistan,1997,AFG,18452100.0,11850753024.0,0.047,1.304,4.953,0.004,0.0,0.022,0.282,3.648,11.334,3.186,0.949,0.0,6.938,0.0,0.0,0.001,0.0,18.584,4.466,0.0,Asia,Southern Asia,Low Income
Afghanistan,1998,AFG,19159996.0,11692171264.0,0.047,1.279,0.979,0.004,0.0,0.022,0.264,-0.3,11.976,3.453,0.942,0.0,6.752,0.0,0.0,0.001,0.0,17.581,4.528,0.0,Asia,Southern Asia,Low Income
Afghanistan,1999,AFG,19887791.0,11517316096.0,0.047,1.092,1.859,0.004,0.0,0.022,0.242,0.767,12.904,3.699,0.777,0.0,6.749,0.0,0.0,0.001,0.0,19.208,4.431,0.0,Asia,Southern Asia,Low Income
Afghanistan,2000,AFG,20130334.0,11283793920.0,0.01,1.047,1.104,0.004,0.0,0.022,0.224,0.057,11.643,3.221,0.788,0.0,5.914,0.0,0.0,0.001,0.0,16.955,4.521,0.0,Asia,Southern Asia,Low Income
Afghanistan,2001,AFG,20284303.0,11021273088.0,0.007,1.069,1.84,0.07,0.0,0.022,0.209,0.771,10.357,2.852,0.762,0.0,4.664,0.0,0.0,0.001,0.0,15.772,4.67,0.0,Asia,Southern Asia,Low Income
Afghanistan,2002,AFG,21378123.0,18804871168.0,0.011,1.341,6.115,0.055,0.0,0.0,0.547,4.774,12.464,3.298,0.727,0.0,4.428,0.0,0.0,0.001,0.0,20.735,5.132,0.0,Asia,Southern Asia,Low Income
Afghanistan,2003,AFG,22733054.0,21074343936.0,0.01,1.56,5.925,0.092,0.0,0.0,0.466,4.365,12.859,3.433,0.992,0.0,5.208,0.0,0.0,0.001,0.0,21.423,5.521,0.0,Asia,Southern Asia,Low Income
Afghanistan,2004,AFG,23560656.0,22332569600.0,0.01,1.237,3.352,0.092,0.0,0.0,0.227,2.115,12.922,3.41,0.909,0.0,4.81,0.0,0.0,0.001,0.0,20.057,5.354,0.0,Asia,Southern Asia,Low Income
Afghanistan,2005,AFG,24404574.0,25397686272.0,0.006,1.89,2.78,0.106,0.0,0.0,0.33,0.891,13.275,3.559,1.447,0.0,6.153,0.0,0.0,0.001,0.0,20.766,6.204,0.0,Asia,Southern Asia,Low Income
Afghanistan,2006,AFG,25424100.0,28704399360.0,0.012,2.159,3.128,0.161,0.0,0.0,0.329,0.969,13.566,3.416,1.657,0.0,7.745,0.0,0.0,0.001,0.0,21.007,6.61,0.0,Asia,Southern Asia,Low Income
Afghanistan,2007,AFG,25909852.0,34507530240.0,0.012,2.8,3.565,0.747,0.0,0.0,0.308,0.765,13.974,3.363,1.733,0.0,9.177,0.0,0.0,0.001,0.0,21.89,7.52,0.0,Asia,Southern Asia,Low Income
Afghanistan,2008,AFG,26482629.0,36561043456.0,0.015,4.254,4.887,1.078,0.0,0.0,0.297,0.633,15.253,3.662,2.864,0.0,16.063,0.0,0.0,0.001,0.0,24.754,9.212,0.0,Asia,Southern Asia,Low Income
Afghanistan,2009,AFG,27466101.0,44358721536.0,0.013,6.392,6.904,1.514,0.0,0.0,0.271,0.512,15.66,3.964,4.594,0.0,26.702,0.0,0.0,0.001,0.0,27.462,11.604,0.0,Asia,Southern Asia,Low Income
Afghanistan,2010,AFG,28284088.0,47399424000.0,0.015,8.365,8.516,2.246,0.0,0.0,0.271,0.151,17.641,4.382,5.833,0.0,33.345,0.0,0.0,0.001,0.0,31.581,13.947,0.0,Asia,Southern Asia,Low Income
Afghanistan,2011,AFG,29347709.0,53326336000.0,0.015,11.838,11.931,4.181,0.0,0.0,0.308,0.093,18.205,4.516,7.335,0.0,42.005,0.0,0.0,0.001,0.0,35.634,18.008,0.0,Asia,Southern Asia,Low Income
Afghanistan,2012,AFG,30560036.0,59166900224.0,0.029,10.035,10.085,3.125,0.0,0.0,0.308,0.05,18.094,4.532,6.573,0.0,40.341,0.001,0.0,0.001,0.0,33.622,16.252,0.0,Asia,Southern Asia,Low Income
Afghanistan,2013,AFG,31622708.0,62993698816.0,0.036,9.229,9.21,3.303,0.0,0.0,0.297,-0.019,18.228,4.544,5.593,0.0,33.459,0.001,0.0,0.001,0.0,32.971,15.655,0.0,Asia,Southern Asia,Low Income
Afghanistan,2014,AFG,32792527.0,64346107904.0,0.029,9.086,9.041,3.621,0.0,0.0,0.271,-0.045,18.683,4.819,5.165,0.0,28.417,0.001,0.001,0.001,0.0,33.681,15.756,0.0,Asia,Southern Asia,Low Income
Afghanistan,2015,AFG,33831765.0,62783393792.0,0.041,9.67,9.803,2.722,0.0,0.0,0.282,0.133,18.048,4.798,6.625,0.0,32.744,0.001,0.001,0.001,0.0,33.569,16.421,0.0,Asia,Southern Asia,Low Income
Afghanistan,2016,AFG,34700614.0,64372215808.0,0.076,8.906,9.108,2.718,0.0,0.0,0.319,0.201,18.125,4.767,5.794,0.0,29.884,0.001,0.001,0.001,0.0,33.088,15.959,0.0,Asia,Southern Asia,Low Income
Afghanistan,2017,AFG,35688942.0,65169281024.0,0.045,9.677,14.573,3.257,0.0,0.0,0.3,4.895,18.182,4.969,6.075,0.0,29.56,0.001,0.001,0.001,0.0,36.574,17.134,0.0,Asia,Southern Asia,Low Income
Afghanistan,2018,AFG,36743040.0,65996738560.0,0.057,10.602,13.308,3.633,0.0,0.0,0.293,2.706,18.741,4.876,6.619,0.0,33.908,0.001,0.001,0.001,0.0,36.748,18.331,0.0,Asia,Southern Asia,Low Income
Afghanistan,2019,AFG,37856126.0,73085706240.0,0.038,10.825,19.743,3.701,0.0,0.0,0.245,8.918,18.734,4.628,6.841,0.0,30.314,0.001,0.001,0.001,0.0,39.145,18.538,0.0,Asia,Southern Asia,Low Income
Afghanistan,2020,AFG,39068978.0,71417708544.0,0.061,11.606,16.833,4.116,0.0,0.0,0.154,5.227,18.086,4.539,7.275,0.0,27.393,0.001,0.001,0.001,0.0,37.833,18.633,0.0,Asia,Southern Asia,Low Income
Afghanistan,2021,AFG,40000411.0,56638849024.0,0.016,10.272,22.036,3.397,0.0,0.0,0.158,11.764,18.751,4.387,6.701,0.0,27.135,0.001,0.001,0.001,0.0,38.313,17.947,0.0,Asia,Southern Asia,Low Income
Afghanistan,2022,AFG,40578846.0,53303472128.0,0.016,10.558,25.863,3.531,0.0,0.0,0.148,15.305,18.826,4.368,6.862,0.0,24.55114620006794,0.001,0.001,0.001,0.0,39.485,18.355,0.0,Asia,Southern Asia,Low Income
Afghanistan,2023,AFG,41454762.0,43664365700.11205,0.016,11.02,28.452,3.843,0.0,0.0,0.15,17.431,18.684,4.182,7.011,0.0,25.216432420421754,0.001,0.001,0.001,0.0,40.081,18.638,0.0,Asia,Southern Asia,Low Income
